year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2014,Kazakhstan,107 ,85 ,247 ,204 ,429 ,108 ,169 ,179 ,287 ,108 ,141 ,720 ,77 ,74 ,366 ,170 ,254 ,133 ,131 ,121 ,310 ,127 ,373 ,383 
2014,Czech,16 ,46 ,28 ,289 ,38 ,161 ,136 ,218 ,49 ,362 ,96 ,173 ,290 ,261 ,556 ,405 ,278 ,213 ,318 ,198 ,329 ,301 ,475 ,267 
2014,Malaysia,704 ,1061 ,15488 ,6199 ,4729 ,2116 ,1410 ,1203 ,1074 ,1214 ,1149 ,1485 ,896 ,1121 ,8192 ,6844 ,1714 ,931 ,4680 ,1311 ,1471 ,1165 ,976 ,1253 
2014,Mongolia,188 ,73 ,197 ,480 ,203 ,101 ,115 ,1507 ,283 ,223 ,299 ,139 ,168 ,54 ,115 ,438 ,79 ,185 ,349 ,134 ,166 ,90 ,81 ,90 
2014,Burma,145 ,143 ,261 ,242 ,448 ,439 ,372 ,665 ,323 ,179 ,1102 ,321 ,303 ,465 ,353 ,634 ,386 ,500 ,673 ,963 ,368 ,850 ,4154 ,432 
2014,Saudi Arabia,129 ,92 ,420 ,121 ,156 ,163 ,110 ,97 ,248 ,167 ,159 ,167 ,1647 ,2764 ,5306 ,2247 ,2994 ,1962 ,2036 ,1528 ,5126 ,2713 ,2625 ,1777 
2014,Sri Lanka,318 ,678 ,457 ,253 ,510 ,214 ,430 ,221 ,2386 ,336 ,914 ,428 ,617 ,865 ,774 ,270 ,350 ,408 ,525 ,305 ,514 ,421 ,310 ,302 
2014,Tajikistan,38 ,61 ,218 ,225 ,153 ,109 ,224 ,330 ,1263 ,113 ,181 ,108 ,29 ,185 ,111 ,92 ,63 ,133 ,113 ,57 ,135 ,31 ,35 ,17 
2014,Thailand,388 ,518 ,970 ,438 ,395 ,498 ,417 ,526 ,494 ,539 ,735 ,1339 ,783 ,839 ,1019 ,736 ,2081 ,961 ,548 ,763 ,779 ,717 ,955 ,800 
2014,Ukraine,82 ,296 ,1299 ,483 ,638 ,257 ,199 ,202 ,220 ,122 ,297 ,166 ,1111 ,8608 ,26836 ,16733 ,6749 ,6075 ,10480 ,6050 ,6685 ,2854 ,3678 ,2621 
2014,Uzbekistan,29 ,36 ,70 ,25 ,160 ,83 ,129 ,466 ,176 ,45 ,66 ,67 ,99 ,145 ,80 ,98 ,54 ,114 ,84 ,165 ,144 ,136 ,50 ,101 
2014,Singapore,298 ,285 ,505 ,442 ,383 ,443 ,509 ,478 ,583 ,613 ,548 ,373 ,457 ,647 ,656 ,466 ,800 ,573 ,524 ,449 ,461 ,632 ,551 ,774 
2014,Syria,300 ,340 ,186 ,275 ,353 ,241 ,164 ,93 ,162 ,125 ,154 ,122 ,4475 ,5186 ,4006 ,2905 ,4704 ,4142 ,2571 ,14559 ,20317 ,10509 ,6509 ,3870 
2014,Yemen,34 ,65 ,33 ,32 ,32 ,71 ,11 ,32 ,70 ,28 ,63 ,33 ,616 ,439 ,472 ,1373 ,1388 ,752 ,351 ,661 ,1344 ,932 ,1738 ,5195 
2014,Iraq,121 ,321 ,59 ,46 ,57 ,495 ,161 ,187 ,335 ,194 ,156 ,203 ,6659 ,3085 ,2640 ,4359 ,3792 ,27820 ,9603 ,25090 ,22700 ,11525 ,11114 ,7769 
2014,Iran,774 ,1038 ,858 ,686 ,1449 ,793 ,791 ,461 ,1254 ,1109 ,1743 ,727 ,8133 ,7779 ,6424 ,8370 ,5378 ,11642 ,8033 ,5883 ,12632 ,6546 ,11807 ,7013 
2014,Israel,191 ,167 ,227 ,489 ,616 ,226 ,475 ,285 ,172 ,232 ,283 ,291 ,10267 ,8117 ,12066 ,11260 ,7806 ,7920 ,25380 ,15326 ,8706 ,12067 ,10341 ,9842 
2014,India,276 ,508 ,262 ,240 ,605 ,1071 ,427 ,417 ,3937 ,775 ,676 ,484 ,1945 ,1549 ,1481 ,1700 ,1780 ,1442 ,2389 ,2297 ,2867 ,2258 ,2656 ,2552 
2014,Indonesia,326 ,875 ,568 ,388 ,401 ,321 ,380 ,463 ,446 ,543 ,850 ,526 ,474 ,1574 ,730 ,847 ,498 ,625 ,863 ,1742 ,834 ,1408 ,1108 ,1680 
2014,Jordan,29 ,128 ,62 ,61 ,141 ,57 ,53 ,15 ,183 ,36 ,100 ,101 ,1673 ,3852 ,2271 ,1451 ,2124 ,2014 ,1624 ,2014 ,4072 ,2411 ,2724 ,2481 
2014,Vietnam,589 ,631 ,1514 ,898 ,13172 ,5192 ,2352 ,2236 ,1365 ,1894 ,1063 ,1371 ,1239 ,1729 ,2926 ,2294 ,3948 ,2146 ,2323 ,3770 ,2550 ,3256 ,3463 ,2205 
2015,Afghanistan,426 ,1095 ,484 ,626 ,738 ,372 ,0 ,0 ,0 ,0 ,0 ,0 ,4691 ,5523 ,8507 ,3885 ,4114 ,2210 ,0,0,0,0,0,0
2015,Egypt,134 ,195 ,283 ,253 ,151 ,278 ,0 ,0 ,0 ,0 ,0 ,0 ,2404 ,3908 ,3882 ,3587 ,2503 ,1896 ,0,0,0,0,0,0
2015,Pakistan,1571 ,2775 ,2154 ,9333 ,2866 ,1974 ,0 ,0 ,0 ,0 ,0 ,0 ,5546 ,3065 ,2579 ,3729 ,3412 ,1858 ,0,0,0,0,0,0
2015,Palestine,36 ,37 ,28 ,47 ,22 ,36 ,0 ,0 ,0 ,0 ,0 ,0 ,2279 ,1696 ,2724 ,1313 ,1428 ,872 ,0,0,0,0,0,0
2015,Belarus,32 ,110 ,167 ,351 ,1699 ,163 ,0 ,0 ,0 ,0 ,0 ,0 ,183 ,506 ,163 ,404 ,361 ,183 ,0,0,0,0,0,0
2015,Russia,2835 ,3284 ,4374 ,4567 ,6596 ,3279 ,0 ,0 ,0 ,0 ,0 ,0 ,10085 ,11757 ,11629 ,9794 ,9275 ,7271 ,0,0,0,0,0,0
2015,Philippines,770 ,1266 ,1323 ,2930 ,2336 ,2448 ,0 ,0 ,0 ,0 ,0 ,0 ,3725 ,2436 ,2349 ,2536 ,2502 ,1720 ,0,0,0,0,0,0
2015,Kazakhstan,194 ,104 ,416 ,215 ,748 ,126 ,0 ,0 ,0 ,0 ,0 ,0 ,134 ,297 ,360 ,327 ,201 ,302 ,0,0,0,0,0,0
2015,Czech,49 ,29 ,48 ,85 ,2 ,89 ,0 ,0 ,0 ,0 ,0 ,0 ,287 ,313 ,371 ,497 ,256 ,290 ,0,0,0,0,0,0
2015,Malaysia,1910 ,2088 ,2209 ,1165 ,1223 ,892 ,0 ,0 ,0 ,0 ,0 ,0 ,941 ,863 ,1154 ,640 ,848 ,623 ,0,0,0,0,0,0
2015,Mongolia,132 ,183 ,183 ,319 ,895 ,181 ,0 ,0 ,0 ,0 ,0 ,0 ,58 ,206 ,107 ,74 ,198 ,42 ,0,0,0,0,0,0
2015,Burma,427 ,863 ,2029 ,789 ,621 ,1574 ,0 ,0 ,0 ,0 ,0 ,0 ,510 ,279 ,586 ,472 ,837 ,562 ,0,0,0,0,0,0
2015,Saudi Arabia,308 ,132 ,320 ,404 ,178 ,136 ,0 ,0 ,0 ,0 ,0 ,0 ,8506 ,3555 ,3835 ,4507 ,5420 ,2028 ,0,0,0,0,0,0
2015,Sri Lanka,1007 ,1714 ,2651 ,794 ,397 ,275 ,0 ,0 ,0 ,0 ,0 ,0 ,1575 ,1095 ,435 ,518 ,852 ,181 ,0,0,0,0,0,0
2015,Tajikistan,81 ,90 ,65 ,62 ,138 ,179 ,0 ,0 ,0 ,0 ,0 ,0 ,49 ,42 ,35 ,69 ,74 ,156 ,0,0,0,0,0,0
2015,Thailand,466 ,1141 ,871 ,1065 ,753 ,374 ,0 ,0 ,0 ,0 ,0 ,0 ,954 ,806 ,799 ,792 ,1169 ,484 ,0,0,0,0,0,0
2015,Ukraine,169 ,225 ,130 ,118 ,128 ,70 ,0 ,0 ,0 ,0 ,0 ,0 ,2973 ,9557 ,4242 ,2767 ,2330 ,1896 ,0,0,0,0,0,0
2015,Uzbekistan,29 ,25 ,139 ,85 ,91 ,135 ,0 ,0 ,0 ,0 ,0 ,0 ,103 ,276 ,231 ,199 ,108 ,71 ,0,0,0,0,0,0
2015,Singapore,347 ,505 ,1483 ,681 ,906 ,529 ,0 ,0 ,0 ,0 ,0 ,0 ,640 ,547 ,1016 ,645 ,605 ,545 ,0,0,0,0,0,0
2015,Syria,95 ,120 ,148 ,211 ,124 ,119 ,0 ,0 ,0 ,0 ,0 ,0 ,4379 ,7377 ,5317 ,2987 ,4683 ,2978 ,0,0,0,0,0,0
2015,Yemen,50 ,58 ,549 ,1032 ,100 ,54 ,0 ,0 ,0 ,0 ,0 ,0 ,3850 ,2005 ,2354 ,4056 ,1846 ,1470 ,0,0,0,0,0,0
2015,Iraq,78 ,144 ,197 ,101 ,99 ,136 ,0 ,0 ,0 ,0 ,0 ,0 ,6271 ,9762 ,8675 ,7648 ,11249 ,7903 ,0,0,0,0,0,0
2015,Iran,679 ,1240 ,2349 ,2372 ,1086 ,987 ,0 ,0 ,0 ,0 ,0 ,0 ,10029 ,11396 ,23983 ,20890 ,11043 ,5481 ,0,0,0,0,0,0
2015,Israel,270 ,250 ,387 ,261 ,252 ,161 ,0 ,0 ,0 ,0 ,0 ,0 ,11963 ,14448 ,26175 ,9480 ,7366 ,5895 ,0,0,0,0,0,0
2015,India,525 ,988 ,785 ,639 ,2215 ,678 ,0 ,0 ,0 ,0 ,0 ,0 ,5850 ,2031 ,1632 ,1532 ,1343 ,1093 ,0,0,0,0,0,0
2015,Indonesia,611 ,564 ,1304 ,1461 ,933 ,325 ,0 ,0 ,0 ,0 ,0 ,0 ,1908 ,799 ,1175 ,1281 ,1090 ,625 ,0,0,0,0,0,0
2015,Jordan,72 ,95 ,60 ,107 ,128 ,52 ,0 ,0 ,0 ,0 ,0 ,0 ,2208 ,6730 ,2034 ,2668 ,1946 ,1325 ,0,0,0,0,0,0
2015,Vietnam,865 ,681 ,1027 ,1968 ,1644 ,1271 ,0 ,0 ,0 ,0 ,0 ,0 ,2150 ,1869 ,3187 ,4388 ,4164 ,2536 ,0,0,0,0,0,0
