year,CTYNAME,CHN_1,CHN_2,CHN_3,CHN_4,CHN_5,CHN_6,CHN_7,CHN_8,CHN_9,CHN_10,CHN_11,CHN_12,USA_1,USA_2,USA_3,USA_4,USA_5,USA_6,USA_7,USA_8,USA_9,USA_10,USA_11,USA_12
2011,Afghanistan,61 ,34 ,66 ,91 ,242 ,156 ,169 ,117 ,158 ,230 ,130 ,447 ,6772 ,5276 ,8096 ,9005 ,9921 ,13975 ,9898 ,10213 ,10449 ,8045 ,7895 ,4757 
2011,Egypt,437 ,776 ,112 ,131 ,152 ,87 ,126 ,119 ,81 ,95 ,153 ,45 ,7346 ,20595 ,4722 ,2826 ,3635 ,2637 ,2044 ,2419 ,2521 ,2495 ,4433 ,2272 
2011,Pakistan,634 ,358 ,526 ,680 ,2967 ,640 ,814 ,2155 ,1900 ,628 ,911 ,559 ,6110 ,12092 ,6845 ,6356 ,22964 ,8082 ,8243 ,5366 ,10794 ,6946 ,6507 ,5946 
2011,Palestine,16 ,20 ,121 ,20 ,22 ,102 ,44 ,100 ,233 ,40 ,62 ,39 ,1837 ,1609 ,1227 ,1656 ,4361 ,1987 ,1789 ,1336 ,6489 ,1885 ,1404 ,925 
2011,Belarus,17 ,30 ,22 ,24 ,48 ,101 ,55 ,30 ,343 ,25 ,57 ,55 ,358 ,229 ,190 ,190 ,239 ,110 ,81 ,220 ,159 ,83 ,70 ,117 
2011,Russia,1540 ,640 ,1525 ,1544 ,1115 ,3262 ,1362 ,1989 ,1364 ,2956 ,2197 ,1202 ,5138 ,4164 ,6520 ,4458 ,4683 ,4265 ,5614 ,5009 ,5320 ,4434 ,6202 ,4123 
2011,Philippines,307 ,1457 ,1814 ,626 ,618 ,2007 ,2399 ,1321 ,1157 ,444 ,740 ,833 ,1191 ,1079 ,1086 ,1381 ,1172 ,2762 ,1303 ,1058 ,1454 ,1331 ,2289 ,1269 
2011,Kazakhstan,40 ,346 ,142 ,218 ,131 ,1478 ,74 ,21 ,283 ,40 ,72 ,104 ,244 ,77 ,161 ,136 ,161 ,132 ,89 ,103 ,250 ,137 ,156 ,154 
2011,Czech,16 ,3 ,19 ,10 ,28 ,25 ,8 ,8 ,10 ,18 ,32 ,64 ,332 ,202 ,181 ,215 ,205 ,308 ,166 ,335 ,225 ,332 ,207 ,296 
2011,Malaysia,316 ,402 ,302 ,1611 ,354 ,358 ,416 ,314 ,702 ,344 ,258 ,286 ,566 ,580 ,393 ,362 ,383 ,479 ,523 ,351 ,566 ,274 ,394 ,293 
2011,Mongolia,74 ,145 ,76 ,59 ,241 ,402 ,181 ,411 ,109 ,45 ,146 ,13 ,24 ,61 ,110 ,61 ,63 ,165 ,76 ,334 ,89 ,37 ,21 ,14 
2011,Burma,100 ,115 ,207 ,409 ,689 ,416 ,111 ,178 ,181 ,806 ,639 ,756 ,222 ,271 ,201 ,284 ,378 ,589 ,485 ,303 ,445 ,453 ,2169 ,1856 
2011,Saudi Arabia,62 ,60 ,180 ,101 ,102 ,128 ,102 ,102 ,100 ,142 ,105 ,83 ,1673 ,2197 ,2052 ,2168 ,1498 ,1630 ,827 ,1218 ,1440 ,3999 ,1080 ,911 
2011,Sri Lanka,125 ,66 ,112 ,76 ,88 ,302 ,108 ,388 ,189 ,112 ,57 ,201 ,372 ,190 ,445 ,297 ,239 ,278 ,315 ,367 ,532 ,353 ,246 ,119 
2011,Tajikistan,132 ,22 ,17 ,79 ,89 ,136 ,19 ,125 ,68 ,6 ,38 ,23 ,47 ,30 ,27 ,76 ,27 ,99 ,52 ,41 ,64 ,284 ,53 ,25 
2011,Thailand,283 ,195 ,189 ,402 ,177 ,132 ,262 ,304 ,282 ,940 ,312 ,662 ,319 ,697 ,454 ,620 ,677 ,429 ,639 ,658 ,451 ,948 ,1209 ,689 
